Date,Bankroll,Strategy
2020-01-19,-23911.05517161983,flat
2020-01-21,-23784.999948845627,flat
2020-01-21,-23884.999948845627,flat
2020-01-21,-23783.056674345982,flat
2020-01-21,-23883.056674345982,flat
2020-01-21,-23983.056674345982,flat
2020-01-21,-24083.056674345982,flat
2020-01-21,-24023.597472796373,flat
2020-01-21,-24123.597472796373,flat
2020-01-22,-24073.045854858825,flat
2020-01-22,-24173.045854858825,flat
2020-01-22,-24106.40920737304,flat
2020-01-23,-24048.83519543081,flat
2020-01-29,-24002.600992781998,flat
2020-02-01,-23919.753858824763,flat
2020-02-01,-24019.753858824763,flat
2020-02-01,-24119.753858824763,flat
2020-02-01,-24083.485441506793,flat
2020-02-01,-24183.485441506793,flat
2020-02-01,-24283.485441506793,flat
2020-02-01,-24180.82944268453,flat
2020-02-01,-24280.82944268453,flat
2020-02-01,-24163.736069229715,flat
2020-02-01,-24263.736069229715,flat
2020-02-01,-24363.736069229715,flat
2020-02-02,-24463.736069229715,flat
2020-02-02,-24563.736069229715,flat
2020-02-08,-24663.736069229715,flat
2020-02-08,-24763.736069229715,flat
2020-02-08,-24676.5425805518,flat
2020-02-09,-24607.805260654535,flat
2020-02-14,-24707.805260654535,flat
2020-02-14,-24807.805260654535,flat
2020-02-15,-24768.870749819307,flat
2020-02-15,-24868.870749819307,flat
2020-02-15,-24740.90582974588,flat
2020-02-16,-24681.111769262116,flat
2020-02-16,-24613.01532602859,flat
2020-02-17,-24713.01532602859,flat
2020-02-17,-24586.04364229132,flat
2020-02-19,-24547.52071411188,flat
2020-02-22,-24447.787337844653,flat
2020-02-22,-24547.787337844653,flat
2020-02-22,-24467.65137749201,flat
2020-02-22,-24374.149553526157,flat
2020-02-22,-24474.149553526157,flat
2020-02-22,-24574.149553526157,flat
2020-02-22,-24503.503929198498,flat
2020-02-22,-24430.605308278497,flat
2020-02-23,-24370.893028826235,flat
2020-02-23,-24295.04346893608,flat
2020-02-23,-24240.04131573034,flat
2020-02-24,-24205.179391814814,flat
2020-02-28,-24305.179391814814,flat
2020-02-29,-24405.179391814814,flat
2020-02-29,-24306.087608575275,flat
2020-02-29,-24406.087608575275,flat
2020-02-29,-24506.087608575275,flat
2020-02-29,-24401.332113590503,flat
2020-02-29,-24501.332113590503,flat
2020-02-29,-24601.332113590503,flat
2020-02-29,-24701.332113590503,flat
2020-03-01,-24801.332113590503,flat
2020-03-01,-24901.332113590503,flat
2020-03-01,-25001.332113590503,flat
2020-03-07,-25101.332113590503,flat
2020-03-07,-24978.581970905245,flat
2020-03-07,-25078.581970905245,flat
2020-03-07,-25015.655523674413,flat
2020-03-07,-25115.655523674413,flat
2020-03-07,-25053.83859028364,flat
2020-03-07,-25021.621936307434,flat
2020-03-07,-24939.309437029828,flat
2020-03-08,-24866.057351129206,flat
2020-03-08,-24966.057351129206,flat
2020-03-09,-24916.63817278459,flat
2020-06-17,-25016.63817278459,flat
